	worker_id	worker_platform	worker_browser	battery_name	battery_owner	battery_owner_email	battery_completed	experiment_include_bonus	experiment_include_catch	experiment_exp_id	experiment_name	experiment_reference	experiment_cognitive_atlas_task_id	result_SS_delay	result_SS_duration	result_SS_stimulus	result_SS_trial_type	result_block_duration	result_condition	result_correct	result_correct_response	result_current_trial	result_dateTime	result_exp_id	result_exp_stage	result_feedback_duration	result_global_shape	result_internal_node_id	result_key_press	result_large_amt	result_later_del	result_local_shape	result_mouse_click	result_num_response	result_page_num	result_possible_responses	result_qnum	result_response_range	result_rt	result_score_response	result_small_amt	result_stim_duration	result_stim_id	result_stim_question	result_stim_response	result_stimulus	result_switch	result_time_elapsed	result_times_viewed	result_timing_post_trial	result_trial	result_trial_id	result_trial_index	result_trial_num	result_trial_type	result_id	result_view_history
7ce0474b-9095-4507-a01b-767445a1c93d_165	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	AY			165	1454609632429	dot_pattern_expectancy	test			0.0-164.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>"		255169		0		cue	165		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_166	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	1000	practice		90	166	1454609632702	dot_pattern_expectancy	test			0.0-165.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		255443		0		fixation	166		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_167	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1500	AY			167	1454609632845	dot_pattern_expectancy	test			0.0-166.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>"		255585		0		probe	167		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_168	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	stop	2000	practice		90	168	1454609633147	dot_pattern_expectancy	test			0.0-167.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		255887		0		feedback	168		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_169	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	AX			169	1454609633652	dot_pattern_expectancy	test			0.0-168.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>"		256392		0		cue	169		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_170	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	1000	practice		77	170	1454609633855	dot_pattern_expectancy	test			0.0-169.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		256596		0		fixation	170		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_171	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1500	AX			171	1454609634210	dot_pattern_expectancy	test			0.0-170.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>"		256951		0		probe	171		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_172	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	2000	practice		90	172	1454609634435	dot_pattern_expectancy	test			0.0-171.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		257176		0		feedback	172		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_173	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	AX			173	1454609634941	dot_pattern_expectancy	test			0.0-172.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>"		257681		0		cue	173		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_174	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	1000	practice		90	174	1454609635217	dot_pattern_expectancy	test			0.0-173.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		257958		0		fixation	174		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_175	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1500	AX			175	1454609635359	dot_pattern_expectancy	test			0.0-174.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>"		258100		0		probe	175		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_176	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	2000	practice		77	176	1454609635660	dot_pattern_expectancy	test			0.0-175.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		258401		0		feedback	176		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_177	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	BX			177	1454609636165	dot_pattern_expectancy	test			0.0-176.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>"		258906		0		cue	177		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_178	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	1000	practice		77	178	1454609636368	dot_pattern_expectancy	test			0.0-177.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		259109		0		fixation	178		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_179	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1500	BX			179	1454609636725	dot_pattern_expectancy	test			0.0-178.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>"		259465		0		probe	179		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_180	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	2000	practice		90	180	1454609636949	dot_pattern_expectancy	test			0.0-179.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		259689		0		feedback	180		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_181	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	AX			181	1454609637454	dot_pattern_expectancy	test			0.0-180.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>"		260194		0		cue	181		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_182	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	1000	practice		77	182	1454609637732	dot_pattern_expectancy	test			0.0-181.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		260473		0		fixation	182		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_183	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1500	AX			183	1454609637871	dot_pattern_expectancy	test			0.0-182.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>"		260612		0		probe	183		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_184	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	stop	2000	practice		77	184	1454609638172	dot_pattern_expectancy	test			0.0-183.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		260913		0		feedback	184		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_185	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	AX			185	1454609638679	dot_pattern_expectancy	test			0.0-184.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>"		261419		0		cue	185		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_186	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	1000	practice		77	186	1454609638882	dot_pattern_expectancy	test			0.0-185.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		261622		0		fixation	186		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_187	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1500	AX			187	1454609639239	dot_pattern_expectancy	test			0.0-186.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>"		261979		0		probe	187		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_188	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	2000	practice		90	188	1454609639460	dot_pattern_expectancy	test			0.0-187.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		262201		0		feedback	188		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_189	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	AY			189	1454609639967	dot_pattern_expectancy	test			0.0-188.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>"		262708		0		cue	189		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_190	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	1000	practice		90	190	1454609640246	dot_pattern_expectancy	test			0.0-189.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		262987		0		fixation	190		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_191	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1500	AY			191	1454609640389	dot_pattern_expectancy	test			0.0-190.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>"		263130		0		probe	191		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_192	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	2000	practice		77	192	1454609640685	dot_pattern_expectancy	test			0.0-191.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		263425		0		feedback	192		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_193	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	AX			193	1454609641193	dot_pattern_expectancy	test			0.0-192.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>"		263933		0		cue	193		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_194	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	stop	1000	practice		77	194	1454609641397	dot_pattern_expectancy	test			0.0-193.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		264137		0		fixation	194		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_195	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1500	AX			195	1454609641753	dot_pattern_expectancy	test			0.0-194.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>"		264493		0		probe	195		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_196	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	stop	2000	practice		77	196	1454609641973	dot_pattern_expectancy	test			0.0-195.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		264713		0		feedback	196		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_197	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	AX			197	1454609642479	dot_pattern_expectancy	test			0.0-196.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>"		265219		0		cue	197		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_198	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	1000	practice		90	198	1454609642762	dot_pattern_expectancy	test			0.0-197.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		265502		0		fixation	198		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_199	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1500	AX			199	1454609642904	dot_pattern_expectancy	test			0.0-198.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>"		265645		0		probe	199		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_200	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	stop	2000	practice		90	200	1454609643198	dot_pattern_expectancy	test			0.0-199.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		265939		0		feedback	200		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_201	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					500	BY			201	1454609643705	dot_pattern_expectancy	test			0.0-200.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>"		266446		0		cue	201		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_202	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1000				202	1454609643911	dot_pattern_expectancy	test			0.0-201.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		266652		0		fixation	202		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_203	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	1500	BY		90	203	1454609644268	dot_pattern_expectancy	test			0.0-202.0	-1							[37, 40]			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>"		267008		0		probe	203		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_204	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					2000				204	1454609644484	dot_pattern_expectancy	test			0.0-203.0	-1							[37, 40]			-1			2000				<div class = centerbox><div class = fixation>+</div></div>		267225		0		feedback	204		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_205	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6	250	250	<div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>	go	500	AX		90	205	1454609644991	dot_pattern_expectancy	test			0.0-204.0	-1							none			-1			500				"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>"		267731		0		cue	205		poldrack-single-stim	59	
7ce0474b-9095-4507-a01b-767445a1c93d_206	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	dot_pattern_expectancy	Dot Pattern Expectancy	http://www.mitpressjournals.org/doi/pdf/10.1162/jocn_a_00709	trm_515495b718cd6					1000				206	1454609645276	dot_pattern_expectancy	test			0.0-205.0	-1							none			-1			1000				<div class = centerbox><div class = center-text>Respond Faster!</p></div>		268016		0		fixation	206		poldrack-single-stim	59	
